params,AUC-ROC
"{'hidden_dim': 16, 'learning_rate': 0.01, 'memory_dim': 32, 'memory_size': 20, 'n_epochs': 50}",0.17403508771929824
"{'hidden_dim': 16, 'learning_rate': 0.01, 'memory_dim': 32, 'memory_size': 50, 'n_epochs': 50}",0.23508771929824565
"{'hidden_dim': 16, 'learning_rate': 0.01, 'memory_dim': 32, 'memory_size': 100, 'n_epochs': 50}",0.19461988304093567
"{'hidden_dim': 32, 'learning_rate': 0.0001, 'memory_dim': 8, 'memory_size': 20, 'n_epochs': 50}",0.5162573099415204
"{'hidden_dim': 32, 'learning_rate': 0.0001, 'memory_dim': 8, 'memory_size': 50, 'n_epochs': 50}",0.6014035087719297
"{'hidden_dim': 32, 'learning_rate': 0.0001, 'memory_dim': 8, 'memory_size': 100, 'n_epochs': 50}",0.5960233918128655
"{'hidden_dim': 32, 'learning_rate': 0.0001, 'memory_dim': 16, 'memory_size': 20, 'n_epochs': 50}",0.37684210526315787
"{'hidden_dim': 32, 'learning_rate': 0.0001, 'memory_dim': 16, 'memory_size': 50, 'n_epochs': 50}",0.3328654970760234
"{'hidden_dim': 32, 'learning_rate': 0.0001, 'memory_dim': 16, 'memory_size': 100, 'n_epochs': 50}",0.3354385964912281
"{'hidden_dim': 32, 'learning_rate': 0.0001, 'memory_dim': 32, 'memory_size': 20, 'n_epochs': 50}",0.263625730994152
"{'hidden_dim': 32, 'learning_rate': 0.0001, 'memory_dim': 32, 'memory_size': 50, 'n_epochs': 50}",0.2664327485380117
"{'hidden_dim': 32, 'learning_rate': 0.0001, 'memory_dim': 32, 'memory_size': 100, 'n_epochs': 50}",0.29660818713450293
"{'hidden_dim': 32, 'learning_rate': 0.001, 'memory_dim': 8, 'memory_size': 20, 'n_epochs': 50}",0.13122807017543858
"{'hidden_dim': 32, 'learning_rate': 0.001, 'memory_dim': 8, 'memory_size': 50, 'n_epochs': 50}",0.18198830409356725
"{'hidden_dim': 32, 'learning_rate': 0.001, 'memory_dim': 8, 'memory_size': 100, 'n_epochs': 50}",0.04538011695906432
"{'hidden_dim': 32, 'learning_rate': 0.001, 'memory_dim': 16, 'memory_size': 20, 'n_epochs': 50}",0.13614035087719295
"{'hidden_dim': 32, 'learning_rate': 0.001, 'memory_dim': 16, 'memory_size': 50, 'n_epochs': 50}",0.08725146198830408
"{'hidden_dim': 32, 'learning_rate': 0.001, 'memory_dim': 16, 'memory_size': 100, 'n_epochs': 50}",0.09824561403508769
"{'hidden_dim': 32, 'learning_rate': 0.001, 'memory_dim': 32, 'memory_size': 20, 'n_epochs': 50}",0.18502923976608188
"{'hidden_dim': 32, 'learning_rate': 0.001, 'memory_dim': 32, 'memory_size': 50, 'n_epochs': 50}",0.17988304093567253
"{'hidden_dim': 32, 'learning_rate': 0.001, 'memory_dim': 32, 'memory_size': 100, 'n_epochs': 50}",0.16888888888888887
"{'hidden_dim': 32, 'learning_rate': 0.01, 'memory_dim': 8, 'memory_size': 20, 'n_epochs': 50}",0.1513450292397661
"{'hidden_dim': 32, 'learning_rate': 0.01, 'memory_dim': 8, 'memory_size': 50, 'n_epochs': 50}",0.527719298245614
"{'hidden_dim': 32, 'learning_rate': 0.01, 'memory_dim': 8, 'memory_size': 100, 'n_epochs': 50}",0.279766081871345
"{'hidden_dim': 32, 'learning_rate': 0.01, 'memory_dim': 16, 'memory_size': 20, 'n_epochs': 50}",0.10807017543859648
"{'hidden_dim': 32, 'learning_rate': 0.01, 'memory_dim': 16, 'memory_size': 50, 'n_epochs': 50}",0.12678362573099414
"{'hidden_dim': 32, 'learning_rate': 0.01, 'memory_dim': 16, 'memory_size': 100, 'n_epochs': 50}",0.27251461988304093
"{'hidden_dim': 32, 'learning_rate': 0.01, 'memory_dim': 32, 'memory_size': 20, 'n_epochs': 50}",0.48023391812865496
"{'hidden_dim': 32, 'learning_rate': 0.01, 'memory_dim': 32, 'memory_size': 50, 'n_epochs': 50}",0.09403508771929824
"{'hidden_dim': 32, 'learning_rate': 0.01, 'memory_dim': 32, 'memory_size': 100, 'n_epochs': 50}",0.041637426900584786
"{'hidden_dim': 64, 'learning_rate': 0.0001, 'memory_dim': 8, 'memory_size': 20, 'n_epochs': 50}",0.3319298245614035
"{'hidden_dim': 64, 'learning_rate': 0.0001, 'memory_dim': 8, 'memory_size': 50, 'n_epochs': 50}",0.35812865497076024
"{'hidden_dim': 64, 'learning_rate': 0.0001, 'memory_dim': 8, 'memory_size': 100, 'n_epochs': 50}",0.3962573099415204
"{'hidden_dim': 64, 'learning_rate': 0.0001, 'memory_dim': 16, 'memory_size': 20, 'n_epochs': 50}",0.25216374269005853
"{'hidden_dim': 64, 'learning_rate': 0.0001, 'memory_dim': 16, 'memory_size': 50, 'n_epochs': 50}",0.2428070175438596
"{'hidden_dim': 64, 'learning_rate': 0.0001, 'memory_dim': 16, 'memory_size': 100, 'n_epochs': 50}",0.24865497076023388
"{'hidden_dim': 64, 'learning_rate': 0.0001, 'memory_dim': 32, 'memory_size': 20, 'n_epochs': 50}",0.21426900584795316
"{'hidden_dim': 64, 'learning_rate': 0.0001, 'memory_dim': 32, 'memory_size': 50, 'n_epochs': 50}",0.24935672514619883
"{'hidden_dim': 64, 'learning_rate': 0.0001, 'memory_dim': 32, 'memory_size': 100, 'n_epochs': 50}",0.24467836257309938
"{'hidden_dim': 64, 'learning_rate': 0.001, 'memory_dim': 8, 'memory_size': 20, 'n_epochs': 50}",0.1295906432748538
"{'hidden_dim': 64, 'learning_rate': 0.001, 'memory_dim': 8, 'memory_size': 50, 'n_epochs': 50}",0.10947368421052629
"{'hidden_dim': 64, 'learning_rate': 0.001, 'memory_dim': 8, 'memory_size': 100, 'n_epochs': 50}",0.12678362573099414
"{'hidden_dim': 64, 'learning_rate': 0.001, 'memory_dim': 16, 'memory_size': 20, 'n_epochs': 50}",0.14502923976608187
"{'hidden_dim': 64, 'learning_rate': 0.001, 'memory_dim': 16, 'memory_size': 50, 'n_epochs': 50}",0.13076023391812863
"{'hidden_dim': 64, 'learning_rate': 0.001, 'memory_dim': 16, 'memory_size': 100, 'n_epochs': 50}",0.30736842105263157
"{'hidden_dim': 64, 'learning_rate': 0.001, 'memory_dim': 32, 'memory_size': 20, 'n_epochs': 50}",0.13660818713450293
"{'hidden_dim': 64, 'learning_rate': 0.001, 'memory_dim': 32, 'memory_size': 50, 'n_epochs': 50}",0.2313450292397661
"{'hidden_dim': 64, 'learning_rate': 0.001, 'memory_dim': 32, 'memory_size': 100, 'n_epochs': 50}",0.07649122807017542
"{'hidden_dim': 64, 'learning_rate': 0.01, 'memory_dim': 8, 'memory_size': 20, 'n_epochs': 50}",0.1941520467836257
"{'hidden_dim': 64, 'learning_rate': 0.01, 'memory_dim': 8, 'memory_size': 50, 'n_epochs': 50}",0.1716959064327485
"{'hidden_dim': 64, 'learning_rate': 0.01, 'memory_dim': 8, 'memory_size': 100, 'n_epochs': 50}",0.10877192982456141
"{'hidden_dim': 64, 'learning_rate': 0.01, 'memory_dim': 16, 'memory_size': 20, 'n_epochs': 50}",0.14994152046783626
"{'hidden_dim': 64, 'learning_rate': 0.01, 'memory_dim': 16, 'memory_size': 50, 'n_epochs': 50}",0.3099415204678363
"{'hidden_dim': 64, 'learning_rate': 0.01, 'memory_dim': 16, 'memory_size': 100, 'n_epochs': 50}",0.1478362573099415
"{'hidden_dim': 64, 'learning_rate': 0.01, 'memory_dim': 32, 'memory_size': 20, 'n_epochs': 50}",0.36210526315789476
"{'hidden_dim': 64, 'learning_rate': 0.01, 'memory_dim': 32, 'memory_size': 50, 'n_epochs': 50}",0.18690058479532162
"{'hidden_dim': 64, 'learning_rate': 0.01, 'memory_dim': 32, 'memory_size': 100, 'n_epochs': 50}",0.28
