Kernel,nu,Parameters,AUC-ROC
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': -0.5}",0.9621052631578948
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.0}",0.9621052631578948
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.5}",0.9621052631578948
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': -0.5}",0.9719298245614035
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.0}",0.9719298245614035
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.5}",0.9719298245614035
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': -0.5}",0.9789473684210527
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.0}",0.9789473684210527
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.5}",0.9789473684210527
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': -0.5}",0.983859649122807
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.0}",0.983859649122807
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.5}",0.983859649122807
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': -0.5}",0.9698245614035088
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.0}",0.9698245614035088
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.5}",0.9698245614035088
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': -0.5}",0.9723976608187135
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.0}",0.9723976608187135
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.5}",0.9723976608187135
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': -0.5}",0.9803508771929824
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.0}",0.9803508771929824
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.5}",0.9803508771929824
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': -0.5}",0.9742690058479533
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.0}",0.9742690058479533
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.5}",0.9742690058479533
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': -1.0, 'mu': -0.5}",0.960233918128655
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.0}",0.960233918128655
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.5}",0.960233918128655
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 0.0, 'mu': -0.5}",0.9707602339181287
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.0}",0.9707602339181287
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.5}",0.9707602339181287
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 1.0, 'mu': -0.5}",0.9815204678362573
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.0}",0.9815204678362573
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.5}",0.9815204678362573
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 2.0, 'mu': -0.5}",0.8416374269005849
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.0}",0.8416374269005849
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.5}",0.8416374269005849
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': -1.0, 'mu': -0.5}",0.9773099415204678
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.0}",0.9773099415204678
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.5}",0.9773099415204678
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 0.0, 'mu': -0.5}",0.9826900584795322
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.0}",0.9826900584795322
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.5}",0.9826900584795322
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 1.0, 'mu': -0.5}",0.880233918128655
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.0}",0.880233918128655
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.5}",0.880233918128655
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 2.0, 'mu': -0.5}",0.8538011695906433
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.0}",0.8538011695906433
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.5}",0.8538011695906433
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': -1.0, 'mu': -0.5}",0.9824561403508772
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.0}",0.9824561403508772
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.5}",0.9824561403508772
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 0.0, 'mu': -0.5}",0.9253801169590643
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.0}",0.9253801169590643
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.5}",0.9253801169590643
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 1.0, 'mu': -0.5}",0.8147368421052632
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.0}",0.8147368421052632
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.5}",0.8147368421052632
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 2.0, 'mu': -0.5}",0.8505263157894737
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.0}",0.8505263157894737
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.5}",0.8505263157894737
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': -0.5}",0.9672514619883041
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.0}",0.9672514619883041
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.5}",0.9672514619883041
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': -0.5}",0.9810526315789474
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.0}",0.9810526315789474
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.5}",0.9810526315789474
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': -0.5}",0.8385964912280701
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.0}",0.8385964912280701
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.5}",0.8385964912280701
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': -0.5}",0.784093567251462
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.0}",0.784093567251462
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.5}",0.784093567251462
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': -0.5}",0.9808187134502924
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.0}",0.9808187134502924
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.5}",0.9808187134502924
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': -0.5}",0.8491228070175438
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.0}",0.8491228070175438
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.5}",0.8491228070175438
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': -0.5}",0.8014035087719298
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.0}",0.8014035087719298
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.5}",0.8014035087719298
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': -0.5}",0.8416374269005849
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.0}",0.8416374269005849
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.5}",0.8416374269005849
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': -0.5}",0.8643274853801169
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.0}",0.8643274853801169
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.5}",0.8643274853801169
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': -0.5}",0.84
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.0}",0.84
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.5}",0.84
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': -0.5}",0.8114619883040936
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.0}",0.8114619883040936
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.5}",0.8114619883040936
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': -0.5}",0.896608187134503
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.0}",0.896608187134503
Full GH Kernel,0.05,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.5}",0.896608187134503
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': -0.5}",0.9581286549707603
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.0}",0.9581286549707603
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.5}",0.9581286549707603
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': -0.5}",0.960233918128655
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.0}",0.960233918128655
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.5}",0.960233918128655
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': -0.5}",0.9665497076023392
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.0}",0.9665497076023392
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.5}",0.9665497076023392
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': -0.5}",0.9714619883040936
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.0}",0.9714619883040936
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.5}",0.9714619883040936
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': -0.5}",0.9618713450292398
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.0}",0.9618713450292398
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.5}",0.9618713450292398
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': -0.5}",0.9670175438596491
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.0}",0.9670175438596491
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.5}",0.9670175438596491
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': -0.5}",0.9712280701754386
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.0}",0.9712280701754386
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.5}",0.9712280701754386
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': -0.5}",0.9749707602339182
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.0}",0.9749707602339182
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.5}",0.9749707602339182
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': -0.5}",0.9656140350877194
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.0}",0.9656140350877194
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.5}",0.9656140350877194
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': -0.5}",0.9705263157894737
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.0}",0.9705263157894737
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.5}",0.9705263157894737
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': -0.5}",0.9740350877192983
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.0}",0.9740350877192983
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.5}",0.9740350877192983
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': -0.5}",0.975906432748538
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.0}",0.975906432748538
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.5}",0.975906432748538
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': -1.0, 'mu': -0.5}",0.9583625730994152
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.0}",0.9583625730994152
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.5}",0.9583625730994152
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 0.0, 'mu': -0.5}",0.9677192982456141
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.0}",0.9677192982456141
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.5}",0.9677192982456141
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 1.0, 'mu': -0.5}",0.9791812865497076
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.0}",0.9791812865497076
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.5}",0.9791812865497076
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 2.0, 'mu': -0.5}",0.9347368421052632
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.0}",0.9347368421052632
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.5}",0.9347368421052632
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': -1.0, 'mu': -0.5}",0.9749707602339182
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.0}",0.9749707602339182
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.5}",0.9749707602339182
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 0.0, 'mu': -0.5}",0.9808187134502924
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.0}",0.9808187134502924
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.5}",0.9808187134502924
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 1.0, 'mu': -0.5}",0.9819883040935673
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.0}",0.9819883040935673
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.5}",0.9819883040935673
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 2.0, 'mu': -0.5}",0.8453801169590643
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.0}",0.8453801169590643
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.5}",0.8453801169590643
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': -1.0, 'mu': -0.5}",0.9822222222222222
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.0}",0.9822222222222222
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.5}",0.9822222222222222
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': 0.0, 'mu': -0.5}",0.9796491228070177
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.0}",0.9796491228070177
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.5}",0.9796491228070177
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': 1.0, 'mu': -0.5}",0.8851461988304095
Full GH Kernel,0.05,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.0}",0.8851461988304095
